Computation_Time,Train_Accuracy,Test_Accuracy
1467915207.417172, 0.1047, 0.1143
1467915209.530884, 0.15440001, 0.168
1467915211.288845, 0.2386, 0.2405
1467915213.111259, 0.38510001, 0.38949999
1467915214.83134, 0.5377, 0.54159999
1467915217.078517, 0.5517, 0.55500001
1467915219.191974, 0.57980001, 0.59280002
1467915220.859569, 0.61570001, 0.62870002
1467915222.957778, 0.62919998, 0.6437
1467915224.655862, 0.65259999, 0.66219997
1467915226.843736, 0.69309998, 0.69819999
1467915228.528732, 0.74529999, 0.74309999
1467915230.725717, 0.77100003, 0.77450001
1467915232.84506, 0.78549999, 0.78380001
1467915234.541264, 0.7985, 0.79579997
1467915236.244255, 0.81459999, 0.8114
1467915237.930323, 0.8348, 0.82520002
1467915240.143892, 0.83950001, 0.82910001
1467915241.884081, 0.84320003, 0.82929999
1467915244.166797, 0.84890002, 0.83029997
1467915245.891106, 0.86110002, 0.83530003
1467915248.13252, 0.86440003, 0.83999997
1467915249.889814, 0.86729997, 0.84560001
1467915251.585313, 0.86799997, 0.84240001
1467915253.687394, 0.86799997, 0.84200001
1467915255.835056, 0.87540001, 0.84850001
1467915257.998003, 0.8793, 0.84899998
1467915259.746421, 0.87550002, 0.85089999
1467915261.545971, 0.87690002, 0.85140002
1467915263.840239, 0.88419998, 0.85039997
1467915265.528546, 0.88410002, 0.85210001
1467915267.274597, 0.889, 0.85589999
1467915269.057374, 0.89480001, 0.85619998
1467915270.817223, 0.89600003, 0.85710001
1467915272.582518, 0.90210003, 0.8599
1467915274.803462, 0.90619999, 0.86129999
1467915276.541985, 0.90469998, 0.86189997
1467915278.234179, 0.90579998, 0.8628
1467915279.93562, 0.90880001, 0.86250001
1467915282.059788, 0.90759999, 0.8642
1467915283.737088, 0.90609998, 0.86229998
1467915285.995995, 0.91329998, 0.86440003
1467915288.285881, 0.92409998, 0.86619997
1467915290.432288, 0.9242, 0.86750001
1467915292.144898, 0.9267, 0.87019998
1467915294.357174, 0.92799997, 0.87099999
1467915296.770626, 0.93760002, 0.8739
1467915299.158382, 0.93970001, 0.87290001
1467915301.411799, 0.94120002, 0.87290001
1467915303.173996, 0.94220001, 0.87339997
1467915305.425447, 0.94400001, 0.87239999
1467915307.253144, 0.94620001, 0.87580001
1467915309.05192, 0.94760001, 0.875
1467915311.456218, 0.9465, 0.87480003
1467915313.308136, 0.94580001, 0.87400001
1467915315.23459, 0.94620001, 0.87550002
1467915317.078564, 0.94929999, 0.87529999
1467915318.819112, 0.94489998, 0.87370002
1467915321.129705, 0.94880003, 0.87669998
1467915323.33931, 0.9544, 0.87639999
1467915325.626991, 0.95749998, 0.87639999
1467915327.399934, 0.95819998, 0.87589997
1467915329.112581, 0.96219999, 0.87650001
1467915330.854597, 0.96310002, 0.87599999
1467915333.107124, 0.96249998, 0.8761
1467915335.970776, 0.96689999, 0.8757
1467915338.17707, 0.9673, 0.87660003
1467915339.929623, 0.9677, 0.87739998
1467915341.663935, 0.96789998, 0.87669998
1467915343.402087, 0.97240001, 0.8775
1467915345.659427, 0.97430003, 0.87760001
1467915347.445231, 0.97390002, 0.87739998
1467915349.268442, 0.97490001, 0.87699997
1467915351.087206, 0.97149998, 0.87690002
1467915353.317968, 0.97259998, 0.87730002
1467915355.132217, 0.97140002, 0.87840003
1467915357.33641, 0.97039998, 0.87709999
1467915359.062232, 0.97350001, 0.87739998
1467915361.252842, 0.97490001, 0.87730002
1467915362.998658, 0.97670001, 0.87730002
1467915365.221659, 0.97820002, 0.8775
1467915367.083629, 0.97820002, 0.8775
1467915368.860858, 0.97899997, 0.87730002
1467915370.561724, 0.97579998, 0.87769997
1467915372.277049, 0.9734, 0.8768
1467915373.99428, 0.9709, 0.8757
1467915376.336407, 0.97000003, 0.87650001
1467915378.099405, 0.97250003, 0.87669998
1467915379.85583, 0.97210002, 0.87550002
1467915381.68731, 0.97119999, 0.87480003
1467915383.516414, 0.97299999, 0.875
1467915385.948507, 0.97469997, 0.87480003
1467915387.698138, 0.97719997, 0.87519997
1467915389.445514, 0.9777, 0.87559998
1467915391.191002, 0.97939998, 0.8757
1467915392.991894, 0.98259997, 0.875
1467915395.349922, 0.98339999, 0.87550002
1467915397.708468, 0.98570001, 0.87540001
1467915399.961009, 0.98570001, 0.87510002
1467915401.701572, 0.98519999, 0.875
