Computation_Time,Train_Accuracy,Test_Accuracy
1467914295.880236, 0.1848, 0.17389999
1467914298.780274, 0.2015, 0.18719999
1467914300.946018, 0.25569999, 0.26140001
1467914303.857127, 0.3687, 0.3723
1467914306.034633, 0.47260001, 0.47170001
1467914308.997475, 0.47490001, 0.47330001
1467914311.282016, 0.52719998, 0.51459998
1467914313.509813, 0.62110001, 0.61290002
1467914316.060076, 0.67009997, 0.66399997
1467914319.10694, 0.6972, 0.69010001
1467914322.164815, 0.699, 0.69209999
1467914325.304637, 0.73089999, 0.72180003
1467914327.582268, 0.76959997, 0.75889999
1467914330.700884, 0.78130001, 0.77160001
1467914332.950699, 0.79650003, 0.7798
1467914335.989197, 0.8398, 0.82920003
1467914338.941929, 0.85320002, 0.83829999
1467914341.922183, 0.86299998, 0.84930003
1467914344.935045, 0.87290001, 0.85159999
1467914347.066372, 0.87800002, 0.85509998
1467914349.161298, 0.88660002, 0.8653
1467914351.296907, 0.88919997, 0.86669999
1467914354.288419, 0.88950002, 0.86390001
1467914357.296221, 0.89670002, 0.86989999
1467914360.174044, 0.90210003, 0.87110001
1467914362.296115, 0.90369999, 0.8732
1467914365.309314, 0.90490001, 0.8714
1467914367.416232, 0.91009998, 0.87529999
1467914369.604825, 0.91100001, 0.87620002
1467914372.565631, 0.91170001, 0.87300003
1467914374.693572, 0.91369998, 0.87650001
1467914376.852938, 0.91229999, 0.87739998
1467914379.065033, 0.91540003, 0.87639999
1467914382.073297, 0.91329998, 0.8743
1467914384.957197, 0.91420001, 0.8739
1467914386.972566, 0.91509998, 0.87
1467914389.104333, 0.91339999, 0.86610001
1467914392.075634, 0.9095, 0.86339998
1467914395.7161, 0.91710001, 0.86650002
1467914398.648065, 0.92119998, 0.86909997
1467914400.812487, 0.92189997, 0.86949998
1467914403.008163, 0.92510003, 0.8721
1467914405.145053, 0.93019998, 0.87300003
1467914407.239807, 0.93360001, 0.87360001
1467914409.417478, 0.9339, 0.87379998
1467914411.500536, 0.93769997, 0.87440002
1467914413.550043, 0.9404, 0.87800002
1467914416.383561, 0.93980002, 0.87720001
1467914419.296351, 0.94010001, 0.87620002
1467914421.30066, 0.94, 0.8761
1467914423.326672, 0.94139999, 0.8761
1467914425.350534, 0.94550002, 0.87589997
1467914428.157307, 0.94450003, 0.87739998
1467914430.178133, 0.94270003, 0.87739998
1467914433.030195, 0.94559997, 0.87639999
1467914435.046405, 0.9461, 0.87529999
1467914437.147909, 0.94809997, 0.87639999
1467914439.240604, 0.94809997, 0.87660003
1467914441.285242, 0.94660002, 0.87650001
1467914444.261524, 0.94440001, 0.87550002
1467914446.358995, 0.94599998, 0.87559998
1467914448.529649, 0.95029998, 0.87510002
1467914451.444577, 0.95279998, 0.87529999
1467914453.504072, 0.95139998, 0.8757
1467914456.382236, 0.95310003, 0.87410003
1467914459.267524, 0.95709997, 0.87449998
1467914461.381639, 0.95349997, 0.87370002
1467914464.301406, 0.95289999, 0.87239999
1467914467.364287, 0.95920002, 0.87290001
1467914470.338307, 0.96179998, 0.87300003
1467914473.393662, 0.96520001, 0.87419999
1467914475.598449, 0.96619999, 0.8739
1467914477.771463, 0.9677, 0.87400001
1467914479.840856, 0.97060001, 0.87370002
1467914481.897607, 0.96829998, 0.8739
1467914484.013437, 0.96890002, 0.87480003
1467914486.177644, 0.97180003, 0.8743
1467914488.300021, 0.97289997, 0.87529999
1467914491.249203, 0.97390002, 0.87510002
1467914493.471399, 0.97359997, 0.87480003
1467914496.461732, 0.9756, 0.87550002
1467914498.635167, 0.97320002, 0.87449998
1467914502.454834, 0.97229999, 0.87400001
1467914507.046136, 0.97570002, 0.87419999
1467914509.118759, 0.97509998, 0.87540001
1467914511.955836, 0.9752, 0.87480003
1467914514.864962, 0.9777, 0.87519997
1467914516.915075, 0.97790003, 0.87449998
1467914520.217399, 0.97579998, 0.87470001
1467914523.201013, 0.97799999, 0.87449998
1467914525.324491, 0.97820002, 0.87489998
1467914527.521227, 0.97790003, 0.87480003
1467914530.54883, 0.97829998, 0.87459999
1467914533.474636, 0.97799999, 0.87480003
1467914535.56098, 0.97780001, 0.87449998
1467914538.451224, 0.97460002, 0.87440002
1467914540.532994, 0.9752, 0.87419999
1467914542.582435, 0.97799999, 0.87410003
1467914544.631879, 0.97299999, 0.87400001
1467914547.489167, 0.97140002, 0.87410003
