Computation_Time,Train_Accuracy,Test_Accuracy
1467914783.026095, 0.088799998, 0.094300002
1467914784.795204, 0.1294, 0.13590001
1467914786.63267, 0.1582, 0.1628
1467914788.432978, 0.1877, 0.1937
1467914790.182807, 0.42039999, 0.4235
1467914792.483952, 0.47420001, 0.47530001
1467914794.756285, 0.51319999, 0.50849998
1467914797.075858, 0.58270001, 0.5837
1467914798.863591, 0.67809999, 0.67540002
1467914801.23, 0.73790002, 0.73659998
1467914803.043234, 0.76800001, 0.76700002
1467914805.650345, 0.78909999, 0.7888
1467914807.553664, 0.82639998, 0.82020003
1467914809.94077, 0.82840002, 0.82669997
1467914812.360847, 0.83649999, 0.82779998
1467914814.287546, 0.84789997, 0.8369
1467914816.683035, 0.8513, 0.8387
1467914818.439827, 0.84789997, 0.83579999
1467914820.796491, 0.83749998, 0.82200003
1467914822.554097, 0.85519999, 0.83890003
1467914824.867726, 0.87, 0.84649998
1467914827.462836, 0.8714, 0.85110003
1467914829.322739, 0.87620002, 0.85439998
1467914831.333947, 0.8811, 0.85610002
1467914833.212681, 0.8818, 0.8524
1467914835.09658, 0.88330001, 0.85619998
1467914837.492163, 0.88749999, 0.85729998
1467914839.397077, 0.89270002, 0.86089998
1467914841.341156, 0.89709997, 0.86479998
1467914843.70422, 0.89960003, 0.86610001
1467914846.148144, 0.90600002, 0.86760002
1467914848.511589, 0.91009998, 0.8696
1467914850.351138, 0.9127, 0.86799997
1467914852.205544, 0.91409999, 0.87080002
1467914854.205054, 0.91619998, 0.86979997
1467914856.077549, 0.91970003, 0.86970001
1467914858.642547, 0.921, 0.87099999
1467914860.64321, 0.92259997, 0.86930001
1467914863.062381, 0.91979998, 0.87
1467914864.926455, 0.9217, 0.8721
1467914866.776711, 0.92309999, 0.87029999
1467914869.197776, 0.92500001, 0.8714
1467914871.523642, 0.93190002, 0.87290001
1467914873.873015, 0.93529999, 0.87279999
1467914875.763897, 0.93900001, 0.87260002
1467914878.158961, 0.94160002, 0.87269998
1467914879.989297, 0.94440001, 0.87269998
1467914882.396862, 0.94569999, 0.87360001
1467914884.197946, 0.94679999, 0.87360001
1467914886.225705, 0.94840002, 0.87330002
1467914888.017794, 0.94389999, 0.87269998
1467914890.545257, 0.949, 0.87190002
1467914892.473765, 0.94940001, 0.87370002
1467914894.878965, 0.94730002, 0.8739
1467914897.35978, 0.954, 0.87709999
1467914899.99841, 0.95490003, 0.87559998
1467914902.575587, 0.95599997, 0.8743
1467914904.556128, 0.95719999, 0.87370002
1467914906.345208, 0.95929998, 0.87330002
1467914908.19693, 0.95929998, 0.8743
1467914910.145596, 0.95859998, 0.87470001
1467914912.589005, 0.9544, 0.87480003
1467914914.553719, 0.95499998, 0.87379998
1467914916.37737, 0.95679998, 0.87349999
1467914918.832376, 0.95929998, 0.87279999
1467914920.658126, 0.9587, 0.87239999
1467914922.980611, 0.9594, 0.87339997
1467914924.78607, 0.95679998, 0.87309998
1467914926.634212, 0.95249999, 0.87410003
1467914928.622501, 0.9515, 0.87470001
1467914930.68076, 0.95469999, 0.87550002
1467914933.247954, 0.95609999, 0.87529999
1467914935.22326, 0.95969999, 0.87410003
1467914937.117113, 0.963, 0.87459999
1467914939.01599, 0.9659, 0.87599999
1467914941.497521, 0.96490002, 0.87559998
1467914944.06604, 0.96939999, 0.87580001
1467914946.487892, 0.97049999, 0.87489998
1467914948.334106, 0.97079998, 0.8743
1467914950.171443, 0.97210002, 0.87370002
1467914952.180719, 0.9734, 0.87449998
1467914954.121201, 0.97479999, 0.87419999
1467914956.030604, 0.97259998, 0.87410003
1467914958.202734, 0.97210002, 0.87470001
1467914960.108155, 0.97000003, 0.87470001
1467914962.045084, 0.97409999, 0.87410003
1467914964.637601, 0.97469997, 0.87360001
1467914966.612525, 0.97619998, 0.87419999
1467914968.41895, 0.9777, 0.87349999
1467914970.419759, 0.977, 0.87330002
1467914972.539868, 0.97369999, 0.87330002
1467914975.099912, 0.97579998, 0.87370002
1467914977.07032, 0.9756, 0.87339997
1467914979.577443, 0.97460002, 0.8739
1467914982.005393, 0.97670001, 0.87360001
1467914984.444824, 0.97649997, 0.87309998
1467914986.244935, 0.97460002, 0.87269998
1467914988.104727, 0.9756, 0.87260002
1467914989.923812, 0.97719997, 0.87279999
1467914991.773025, 0.98019999, 0.87309998
