Layers: 2
Nodes: 256
========================================================
Epoch,Cost,Computation_Time,Train_Accuracy,Test_Accuracy
37,23.7292,49.539,1.86174416542,0.903,0.8529
38,23.3392,49.3561,1.83397889137,0.904,0.8537
39,22.6446,48.6004,1.21329116821,0.9081,0.8551
40,22.1388,48.1449,1.22831106186,0.9105,0.8567
41,21.7427,47.9519,1.22139310837,0.9118,0.8582
42,21.027,47.4325,1.20054507256,0.9134,0.8575
43,20.5104,46.9351,1.22715592384,0.9162,0.8574
44,20.2103,46.9282,1.81639695168,0.9162,0.8576
45,19.7635,46.8516,1.27960300446,0.9169,0.8567
46,19.5095,46.5338,1.24123001099,0.919,0.8589
47,19.2261,46.2798,1.2366809845,0.9184,0.8587
48,18.7989,46.0831,1.30018305779,0.9208,0.8589
49,18.4363,45.9442,1.25834393501,0.9236,0.8586
50,18.2961,45.9331,1.83527183533,0.9232,0.8583
51,18.0789,45.8444,1.29436683655,0.9208,0.8583
52,17.8709,45.6951,1.34706807137,0.9231,0.858
53,17.6475,45.6408,1.31877994537,0.9252,0.8591
54,17.5215,45.4813,1.30531787872,0.9261,0.8588
55,17.3147,45.3204,1.2826499939,0.9236,0.8594
56,16.8972,45.2468,1.8725810051,0.9254,0.8591
57,16.3958,45.056,1.24720287323,0.9231,0.8576
58,16.0439,44.8636,1.24981403351,0.9245,0.8589
59,15.5996,44.555,1.26704287529,0.926,0.86
60,14.8214,44.2398,1.9158821106,0.9281,0.8598
61,14.3787,44.0301,1.33002996445,0.9204,0.8587
62,13.3828,43.3245,1.32168412209,0.9223,0.8581
63,12.3381,42.5978,1.30060100555,0.9359,0.86
64,12.1334,42.6235,2.08123207092,0.939,0.8615
65,12.0293,42.5703,1.91525197029,0.9383,0.8614
66,11.903,42.4715,1.30332303047,0.941,0.8611
67,11.7746,42.4484,1.28909301758,0.9414,0.8609
68,11.6313,42.3541,1.31183505058,0.943,0.8615
69,11.5077,42.2496,1.28136897087,0.9441,0.8623
70,11.1905,42.0643,1.9714858532,0.9414,0.8628
71,10.5923,41.5673,2.0837790966,0.9365,0.8629
72,9.94344,41.0371,1.89282298088,0.93,0.8623
73,9.3717,40.5889,1.45396995544,0.9341,0.8623
74,8.96576,40.1688,2.10573387146,0.9363,0.8641
75,8.56162,39.9222,1.3556330204,0.9396,0.8651
76,8.14748,39.8718,1.31173300743,0.9408,0.8665
77,7.68587,39.6778,1.33878898621,0.9447,0.8648
78,7.32065,39.4205,1.36190986633,0.9482,0.8656
79,6.91707,39.2934,1.40724086761,0.9516,0.8655
80,6.58654,39.2581,1.3851480484,0.9528,0.8669
81,6.31785,39.2064,2.19411802292,0.9551,0.8668
82,5.9999,39.0439,1.48836398125,0.9581,0.8655
83,5.88939,38.9753,2.0917160511,0.9601,0.8662
84,5.72267,38.9755,1.46238613129,0.9605,0.8669
85,5.58082,38.8966,1.35531592369,0.9634,0.867
86,5.44596,38.8288,1.37951803207,0.9651,0.8672
87,5.31627,38.8722,1.4167869091,0.9635,0.866
88,5.15842,38.9269,1.40566015244,0.9619,0.8646
89,4.99987,38.8293,1.74904990196,0.9647,0.8654
90,4.90914,38.7429,1.47860598564,0.965,0.8655
91,4.88605,38.7161,2.12827086449,0.9636,0.8653
92,4.77343,38.7067,2.14583706856,0.9658,0.8652
93,4.70857,38.7854,1.37545108795,0.9674,0.865
94,4.6741,38.7524,2.13496685028,0.9683,0.8646
95,4.63381,38.7354,1.49324798584,0.9688,0.8647
96,4.58259,38.7537,1.3896510601,0.9691,0.865
97,4.53747,38.7113,1.38419604301,0.9696,0.8645
98,4.48695,38.6863,1.41546106339,0.9698,0.8647
99,4.45461,38.6906,1.49324584007,0.9701,0.8654
