Computation_Time,Train_Accuracy,Test_Accuracy
1467912011.943362, 0.1042, 0.1193
1467912013.99777, 0.1302, 0.13600001
1467912016.823081, 0.16140001, 0.16509999
1467912019.768667, 0.2132, 0.215
1467912021.873253, 0.28909999, 0.30410001
1467912025.53981, 0.32159999, 0.33809999
1467912028.396255, 0.3612, 0.37760001
1467912031.276947, 0.38659999, 0.39309999
1467912034.141617, 0.53310001, 0.54390001
1467912036.985362, 0.59109998, 0.59740001
1467912039.047135, 0.66619998, 0.67259997
1467912041.168846, 0.74620003, 0.7493
1467912044.039041, 0.76480001, 0.76520002
1467912047.072311, 0.77389997, 0.77209997
1467912049.186429, 0.7773, 0.77460003
1467912052.364891, 0.77630001, 0.7784
1467912055.518272, 0.78850001, 0.78729999
1467912058.817605, 0.79280001, 0.79000002
1467912061.0926, 0.79320002, 0.7913
1467912064.88089, 0.81489998, 0.80400002
1467912066.920935, 0.82920003, 0.81830001
1467912069.85872, 0.83420002, 0.81950003
1467912072.728658, 0.83679998, 0.82480001
1467912074.815984, 0.84359998, 0.82789999
1467912077.709443, 0.85949999, 0.8362
1467912079.726496, 0.87199998, 0.8506
1467912082.566875, 0.87580001, 0.85290003
1467912084.616275, 0.88330001, 0.85540003
1467912086.66221, 0.88319999, 0.85769999
1467912088.722462, 0.8901, 0.85960001
1467912090.743588, 0.8955, 0.8671
1467912093.681589, 0.89590001, 0.86830002
1467912095.751564, 0.89780003, 0.86909997
1467912097.923703, 0.89899999, 0.86909997
1467912100.905924, 0.89829999, 0.86809999
1467912103.099629, 0.9005, 0.86860001
1467912106.124501, 0.90829998, 0.8714
1467912109.016526, 0.91030002, 0.87440002
1467912111.983823, 0.91109997, 0.87269998
1467912114.044706, 0.91250002, 0.87230003
1467912116.12967, 0.91479999, 0.87400001
1467912118.374219, 0.91710001, 0.87699997
1467912120.694685, 0.91759998, 0.87400001
1467912122.781417, 0.92159998, 0.87230003
1467912125.749944, 0.92500001, 0.87510002
1467912128.604245, 0.92570001, 0.87370002
1467912130.705312, 0.93220001, 0.87349999
1467912133.559424, 0.93449998, 0.87480003
1467912135.607557, 0.93550003, 0.87639999
1467912137.676745, 0.94209999, 0.8779
1467912140.508043, 0.94300002, 0.87900001
1467912142.549728, 0.94319999, 0.87879997
1467912144.632683, 0.94389999, 0.8793
1467912146.711724, 0.94580001, 0.88
1467912148.778787, 0.94529998, 0.87889999
1467912151.593411, 0.94760001, 0.87900001
1467912153.613831, 0.94889998, 0.88059998
1467912156.598695, 0.94959998, 0.88069999
1467912159.448522, 0.9526, 0.88010001
1467912162.280264, 0.9526, 0.88099998
1467912164.32675, 0.95200002, 0.88020003
1467912167.318284, 0.95550001, 0.88099998
1467912169.358294, 0.95599997, 0.88120002
1467912172.228657, 0.95630002, 0.88090003
1467912175.083711, 0.95560002, 0.88059998
1467912177.287356, 0.95639998, 0.88059998
1467912179.408328, 0.95899999, 0.88120002
1467912181.708924, 0.95789999, 0.8818
1467912183.876215, 0.95700002, 0.8818
1467912187.142445, 0.96149999, 0.87919998
1467912190.340095, 0.96350002, 0.87959999
1467912193.363258, 0.96469998, 0.88
1467912195.4538, 0.96569997, 0.88029999
1467912197.503128, 0.96689999, 0.87989998
1467912199.583657, 0.9673, 0.88029999
1467912202.470694, 0.96740001, 0.88010001
1467912204.634363, 0.9648, 0.87919998
1467912207.585616, 0.96359998, 0.8786
1467912209.673118, 0.96030003, 0.87840003
1467912211.741502, 0.95829999, 0.87840003
1467912214.596612, 0.95819998, 0.87870002
1467912216.674872, 0.95959997, 0.87769997
1467912219.634055, 0.96170002, 0.87739998
1467912221.758509, 0.9655, 0.87779999
1467912223.90864, 0.96450001, 0.87800002
1467912226.062633, 0.96460003, 0.8775
1467912228.173915, 0.9691, 0.8779
1467912231.143294, 0.9709, 0.87809998
1467912233.365246, 0.97170001, 0.87779999
1467912235.524781, 0.9727, 0.87709999
1467912237.658211, 0.97600001, 0.8775
1467912239.765649, 0.9777, 0.87739998
1467912242.698849, 0.977, 0.87809998
1467912244.764312, 0.97930002, 0.87760001
1467912246.800134, 0.97899997, 0.87739998
1467912249.691935, 0.97780001, 0.87720001
1467912253.640167, 0.98189998, 0.87800002
1467912256.551409, 0.98189998, 0.87800002
1467912259.542384, 0.97839999, 0.87730002
1467912261.604924, 0.97899997, 0.87809998
