Computation_Time,Train_Accuracy,Test_Accuracy
1467913014.983259, 0.097199999, 0.091499999
1467913017.91867, 0.1495, 0.145
1467913020.868604, 0.19490001, 0.184
1467913023.021751, 0.3348, 0.32350001
1467913025.985048, 0.36399999, 0.34720001
1467913028.95193, 0.51730001, 0.51490003
1467913031.122032, 0.65930003, 0.65979999
1467913034.066208, 0.72359997, 0.73760003
1467913036.227918, 0.78479999, 0.79280001
1467913039.263825, 0.79699999, 0.80000001
1467913041.326825, 0.80260003, 0.8003
1467913043.400532, 0.80729997, 0.79869998
1467913045.530677, 0.833, 0.82139999
1467913048.55449, 0.84179997, 0.83279997
1467913051.612639, 0.84429997, 0.83749998
1467913054.478056, 0.84579998, 0.83999997
1467913056.552464, 0.85720003, 0.84280002
1467913058.704695, 0.852, 0.83240002
1467913061.501217, 0.84869999, 0.82550001
1467913065.125091, 0.86909997, 0.84119999
