Computation_Time,Train_Accuracy,Test_Accuracy
1467915412.916189, 0.14650001, 0.15180001
1467915414.649305, 0.18189999, 0.1859
1467915416.842049, 0.20999999, 0.21619999
1467915419.034313, 0.34689999, 0.36090001
1467915420.698971, 0.4797, 0.48010001
1467915423.274668, 0.5147, 0.50959998
1467915425.970325, 0.55900002, 0.56639999
1467915428.107285, 0.57889998, 0.58770001
1467915430.25531, 0.5855, 0.59670001
1467915431.951811, 0.60869998, 0.61650002
1467915433.713413, 0.63380003, 0.63910002
1467915435.891516, 0.66589999, 0.67309999
1467915437.610183, 0.71929997, 0.72079998
1467915439.757721, 0.73720002, 0.73019999
1467915441.869087, 0.74449998, 0.736
1467915443.591336, 0.74919999, 0.74239999
1467915445.761717, 0.75830001, 0.75709999
1467915447.513404, 0.76789999, 0.76550001
1467915449.243347, 0.80019999, 0.79280001
1467915451.349854, 0.81050003, 0.79689997
1467915453.573952, 0.8154, 0.79790002
1467915455.269837, 0.8186, 0.80019999
1467915457.435095, 0.82010001, 0.80129999
1467915459.143371, 0.82480001, 0.80449998
1467915460.958954, 0.83429998, 0.81169999
1467915462.80693, 0.84130001, 0.81629997
1467915465.043701, 0.84570003, 0.82239997
1467915467.252089, 0.86000001, 0.83350003
1467915469.472802, 0.86290002, 0.83389997
1467915471.157284, 0.87040001, 0.8362
1467915472.885907, 0.87169999, 0.83569998
1467915474.634943, 0.87519997, 0.83899999
1467915476.371113, 0.8761, 0.83859998
1467915478.107455, 0.87559998, 0.8405
1467915479.866573, 0.87989998, 0.84170002
1467915481.570422, 0.88889998, 0.84469998
1467915483.807631, 0.89219999, 0.847
1467915486.081478, 0.89539999, 0.84640002
1467915487.81041, 0.89649999, 0.84829998
1467915489.592746, 0.89889997, 0.85039997
1467915491.383466, 0.9005, 0.8495
1467915493.048751, 0.89899999, 0.84920001
1467915494.767605, 0.90249997, 0.85119998
1467915496.479647, 0.90600002, 0.85180002
1467915498.196528, 0.90490001, 0.8524
1467915500.425281, 0.90399998, 0.85229999
1467915502.691097, 0.90820003, 0.8531
1467915504.408388, 0.91189998, 0.85290003
1467915506.594143, 0.91299999, 0.85280001
1467915508.331921, 0.91030002, 0.85329998
1467915510.090934, 0.9102, 0.85329998
1467915512.282963, 0.9138, 0.85369998
1467915514.449397, 0.9145, 0.85439998
1467915516.197889, 0.9145, 0.85439998
1467915517.933855, 0.91610003, 0.85280001
1467915520.183183, 0.9145, 0.85299999
1467915521.946837, 0.91670001, 0.85479999
1467915524.467272, 0.91409999, 0.85479999
1467915526.651175, 0.92119998, 0.85519999
1467915528.435284, 0.92400002, 0.85460001
1467915530.675722, 0.9267, 0.85439998
1467915532.432284, 0.92460001, 0.85600001
1467915534.149254, 0.9228, 0.85650003
1467915536.41838, 0.9278, 0.85460001
1467915538.108579, 0.92760003, 0.8549
1467915540.354156, 0.92979997, 0.85650003
1467915542.143999, 0.93089998, 0.85659999
1467915544.072722, 0.93110001, 0.85659999
1467915545.896736, 0.93089998, 0.85720003
1467915547.638555, 0.93129998, 0.8556
1467915549.368252, 0.93409997, 0.85470003
1467915551.108016, 0.93309999, 0.85680002
1467915553.334536, 0.93339998, 0.85689998
1467915555.097749, 0.9346, 0.85610002
1467915556.878035, 0.93709999, 0.85640001
1467915558.59501, 0.9332, 0.85619998
1467915560.380623, 0.93300003, 0.85689998
1467915562.264997, 0.93540001, 0.85640001
1467915564.06819, 0.93489999, 0.85600001
1467915566.337125, 0.93269998, 0.85640001
1467915568.701681, 0.93769997, 0.85659999
1467915570.424052, 0.93480003, 0.85659999
1467915572.692468, 0.93360001, 0.85729998
1467915574.970027, 0.93669999, 0.85680002
1467915576.710653, 0.9357, 0.85689998
1467915579.446015, 0.93489999, 0.85659999
1467915582.606786, 0.93879998, 0.85650003
1467915584.863463, 0.93739998, 0.85689998
1467915586.584887, 0.93730003, 0.85689998
1467915588.837516, 0.93790001, 0.85689998
1467915590.600594, 0.93550003, 0.85640001
1467915592.87921, 0.93709999, 0.85680002
1467915595.182494, 0.92970002, 0.85829997
1467915597.518174, 0.9278, 0.85710001
1467915599.305205, 0.92949998, 0.85579997
1467915601.603792, 0.92860001, 0.85579997
1467915603.871351, 0.93169999, 0.85799998
1467915606.066787, 0.9339, 0.85909998
1467915607.934332, 0.93849999, 0.86019999
1467915609.662662, 0.94300002, 0.8599
