Layers: 2
Nodes: 256
========================================================
Computation_Time,Train_Accuracy,Test_Accuracy
5.27365517616272, 0.1261, 0.12530001
1.8478868007659912, 0.1761, 0.1753
1.964818000793457, 0.3809, 0.37630001
1.863055944442749, 0.55190003, 0.55250001
2.523344039916992, 0.58700001, 0.58810002
2.626356840133667, 0.59069997, 0.5948
2.6443490982055664, 0.67210001, 0.66329998
2.4779200553894043, 0.69700003, 0.69529998
1.939697027206421, 0.71539998, 0.70969999
1.9577300548553467, 0.73979998, 0.7349
1.893847942352295, 0.7658, 0.75760001
2.4603090286254883, 0.7766, 0.76899999
1.9895579814910889, 0.78170002, 0.7701
2.581547975540161, 0.79640001, 0.78380001
1.9632768630981445, 0.8448, 0.8197
2.464365005493164, 0.86180001, 0.83459997
2.5596530437469482, 0.86470002, 0.838
1.9623799324035645, 0.866, 0.83859998
1.964130163192749, 0.86949998, 0.84149998
1.9056739807128906, 0.87629998, 0.8452
2.5023930072784424, 0.87819999, 0.84179997
2.5069899559020996, 0.88319999, 0.8448
1.984076976776123, 0.88599998, 0.84680003
2.6699531078338623, 0.88389999, 0.84640002
3.0188751220703125, 0.89459997, 0.84960002
2.5337560176849365, 0.90100002, 0.8513
2.6254141330718994, 0.90090001, 0.85079998
2.857753038406372, 0.90130001, 0.85189998
2.0414750576019287, 0.90490001, 0.85280001
1.9427399635314941, 0.91140002, 0.85829997
2.882506847381592, 0.91640002, 0.85640001
2.1315689086914062, 0.91720003, 0.85619998
2.079195976257324, 0.91729999, 0.85769999
1.956130027770996, 0.92549998, 0.85839999
2.559760093688965, 0.9285, 0.8599
2.1693098545074463, 0.92790002, 0.8603
2.8609368801116943, 0.92659998, 0.86119998
2.003606081008911, 0.9217, 0.86129999
1.873962163925171, 0.93159997, 0.86339998
1.90926194190979, 0.93790001, 0.86500001
2.481436014175415, 0.9382, 0.8646
2.4877889156341553, 0.9436, 0.86629999
2.505384922027588, 0.9454, 0.866
1.792443037033081, 0.94379997, 0.86510003
1.8277230262756348, 0.9425, 0.86610001
1.9532179832458496, 0.94819999, 0.86570001
2.4675509929656982, 0.94959998, 0.86580002
1.8325319290161133, 0.94840002, 0.8653
2.4287328720092773, 0.94569999, 0.86589998
1.9899368286132812, 0.94410002, 0.86549997
2.005005121231079, 0.94520003, 0.86500001
1.9942848682403564, 0.94700003, 0.86589998
2.008255958557129, 0.94950002, 0.86650002
1.882457971572876, 0.95480001, 0.86669999
2.6283040046691895, 0.9569, 0.86690003
1.84912109375, 0.9576, 0.86699998
1.8493950366973877, 0.95630002, 0.86690003
1.9895570278167725, 0.95700002, 0.86690003
1.930427074432373, 0.9569, 0.86650002
1.7923719882965088, 0.9551, 0.86659998
2.0368311405181885, 0.954, 0.86610001
1.9863359928131104, 0.95859998, 0.86690003
2.030604124069214, 0.96139997, 0.86659998
2.6781888008117676, 0.95990002, 0.86699998
1.9348490238189697, 0.96079999, 0.86680001
2.537198066711426, 0.96340001, 0.86729997
2.8255209922790527, 0.96170002, 0.86680001
2.04956316947937, 0.96170002, 0.86699998
1.8760440349578857, 0.96399999, 0.8671
1.9508790969848633, 0.96280003, 0.86669999
2.7842249870300293, 0.96210003, 0.86650002
2.025128126144409, 0.96090001, 0.86650002
2.080173969268799, 0.96270001, 0.86580002
1.9841539859771729, 0.9659, 0.866
2.458590030670166, 0.96359998, 0.86629999
1.8251800537109375, 0.95749998, 0.86650002
2.6431970596313477, 0.95789999, 0.86549997
2.701979875564575, 0.95999998, 0.86510003
1.9881978034973145, 0.96179998, 0.86659998
2.655993938446045, 0.96030003, 0.8664
2.585960865020752, 0.96039999, 0.86629999
1.8332788944244385, 0.9666, 0.8664
1.9030280113220215, 0.96200001, 0.8653
2.471453905105591, 0.9598, 0.86559999
3.0416419506073, 0.96689999, 0.86589998
1.8543269634246826, 0.96929997, 0.86729997
2.6152591705322266, 0.9702, 0.86739999
2.604228973388672, 0.9738, 0.86760002
1.902853012084961, 0.97390002, 0.86669999
2.4334259033203125, 0.97479999, 0.8664
1.8854339122772217, 0.97689998, 0.8671
1.917356014251709, 0.9777, 0.86650002
2.240177869796753, 0.97839999, 0.86720002
1.898941993713379, 0.97759998, 0.86729997
1.866292953491211, 0.9777, 0.86729997
2.5439980030059814, 0.97670001, 0.86699998
2.579677104949951, 0.98159999, 0.8671
2.5333969593048096, 0.98000002, 0.86699998
2.0627050399780273, 0.9795, 0.86650002
1.9555580615997314, 0.98220003, 0.86669999
