Computation_Time,Train_Accuracy,Test_Accuracy
1467914555.637685, 0.089100003, 0.0858
1467914557.476235, 0.1645, 0.1661
1467914559.283664, 0.3082, 0.31330001
1467914561.15848, 0.5406, 0.55159998
1467914563.700017, 0.55919999, 0.57010001
1467914566.294558, 0.57950002, 0.59369999
1467914568.363489, 0.60610002, 0.61299998
1467914570.351363, 0.65039998, 0.6552
1467914572.923155, 0.66170001, 0.67049998
1467914574.819861, 0.68370003, 0.69169998
1467914577.267477, 0.70139998, 0.70539999
1467914579.108023, 0.7159, 0.72109997
1467914580.971382, 0.75410002, 0.75840002
1467914582.803546, 0.78560001, 0.78539997
1467914585.268676, 0.79360002, 0.79640001
1467914587.163486, 0.80070001, 0.79949999
1467914589.085572, 0.80220002, 0.79930001
1467914591.10787, 0.8089, 0.8057
1467914593.045051, 0.81629997, 0.80720001
1467914595.578104, 0.8247, 0.81599998
1467914597.482677, 0.83160001, 0.82190001
1467914599.452131, 0.85320002, 0.83649999
1467914601.951307, 0.85799998, 0.83899999
1467914604.563179, 0.86110002, 0.83960003
1467914606.470007, 0.86650002, 0.84299999
1467914608.417013, 0.8682, 0.84329998
1467914610.355477, 0.87239999, 0.84609997
1467914612.21874, 0.87519997, 0.84579998
1467914614.18188, 0.87559998, 0.84439999
1467914616.76511, 0.87699997, 0.84350002
1467914618.710394, 0.88789999, 0.84979999
1467914621.186092, 0.89020002, 0.8506
1467914623.121293, 0.8926, 0.85180002
1467914624.96478, 0.88980001, 0.85399997
1467914627.572581, 0.89829999, 0.85460001
1467914629.426396, 0.89660001, 0.85299999
1467914631.886937, 0.89499998, 0.85259998
1467914635.058285, 0.89929998, 0.8531
1467914637.566673, 0.90200001, 0.85509998
1467914639.393477, 0.90740001, 0.85710001
1467914641.884545, 0.9077, 0.85699999
1467914643.771328, 0.90679997, 0.85579997
1467914645.678351, 0.9041, 0.85479999
1467914648.192322, 0.90890002, 0.8563
1467914650.947225, 0.9113, 0.85680002
1467914653.17226, 0.91189998, 0.85659999
1467914656.065463, 0.91009998, 0.85790002
1467914658.692654, 0.91170001, 0.85790002
1467914660.615084, 0.91329998, 0.8567
1467914662.469871, 0.92129999, 0.86089998
1467914664.953696, 0.92510003, 0.85970002
1467914667.414928, 0.92739999, 0.86159998
1467914669.299257, 0.9314, 0.8617
1467914671.173798, 0.93449998, 0.86210001
1467914673.654129, 0.93449998, 0.86390001
1467914676.1733, 0.9364, 0.8635
1467914678.035133, 0.94080001, 0.8646
1467914679.920867, 0.9429, 0.86369997
1467914681.839589, 0.9443, 0.86470002
1467914684.36014, 0.93669999, 0.86580002
1467914686.362192, 0.93049997, 0.86619997
1467914688.355261, 0.94029999, 0.86669999
1467914691.131148, 0.9425, 0.86589998
1467914693.727497, 0.94510001, 0.86900002
1467914695.691023, 0.9472, 0.86970001
1467914697.62687, 0.95160002, 0.87099999
1467914699.567211, 0.9558, 0.87120003
1467914702.163199, 0.95819998, 0.8721
1467914704.843666, 0.95889997, 0.87150002
1467914707.627618, 0.96030003, 0.87279999
1467914709.580076, 0.96179998, 0.87220001
1467914711.505402, 0.96520001, 0.8721
1467914714.182676, 0.96630001, 0.87099999
1467914716.174563, 0.96429998, 0.87110001
1467914718.345622, 0.96689999, 0.8721
1467914720.338524, 0.96890002, 0.87169999
1467914723.440794, 0.96939999, 0.87169999
1467914726.160842, 0.97109997, 0.8707
1467914728.777617, 0.97109997, 0.87150002
1467914730.801536, 0.97130001, 0.87110001
1467914733.62195, 0.97049999, 0.87080002
1467914735.564056, 0.97140002, 0.87040001
1467914738.380685, 0.97210002, 0.87059999
1467914740.540728, 0.9698, 0.87080002
1467914743.301196, 0.97009999, 0.87080002
1467914745.279421, 0.96920002, 0.87
1467914747.329921, 0.97030002, 0.87050003
1467914749.852577, 0.97109997, 0.87010002
1467914751.773152, 0.9698, 0.86970001
1467914753.836855, 0.97229999, 0.8696
1467914755.839298, 0.97390002, 0.87
1467914758.414583, 0.97469997, 0.86989999
1467914760.340088, 0.9763, 0.86970001
1467914762.227446, 0.9763, 0.86930001
1467914764.143423, 0.97549999, 0.86930001
1467914766.061876, 0.97719997, 0.87010002
1467914768.145724, 0.97640002, 0.87019998
1467914770.144882, 0.9777, 0.86930001
1467914772.261218, 0.97570002, 0.86900002
1467914774.401252, 0.97430003, 0.86839998
