Computation_Time,Train_Accuracy,Test_Accuracy
1467914999.490754, 0.1058, 0.1112
1467915001.161531, 0.1231, 0.1167
1467915003.401269, 0.1593, 0.1576
1467915005.094864, 0.2467, 0.2414
1467915006.927934, 0.391, 0.37360001
1467915008.693653, 0.54140002, 0.53649998
1467915010.868972, 0.59020001, 0.58969998
1467915012.598427, 0.66909999, 0.6674
1467915014.874729, 0.69019997, 0.69190001
1467915017.208881, 0.7044, 0.70459998
1467915019.065781, 0.71749997, 0.71890002
1467915020.794648, 0.74769998, 0.74669999
1467915023.165443, 0.75480002, 0.75709999
1467915025.014133, 0.77109998, 0.7647
1467915027.328934, 0.78680003, 0.778
1467915029.324726, 0.80589998, 0.80360001
1467915031.178408, 0.85049999, 0.83710003
1467915033.440153, 0.85860002, 0.8477
1467915035.228341, 0.86320001, 0.8495
1467915037.482521, 0.86580002, 0.85149997
1467915039.675257, 0.8829, 0.8617
1467915041.872856, 0.88620001, 0.86290002
1467915043.631509, 0.88950002, 0.8653
1467915045.395668, 0.89340001, 0.86479998
1467915047.238268, 0.89310002, 0.86339998
1467915049.459565, 0.89029998, 0.86269999
1467915051.909868, 0.89929998, 0.8664
1467915054.414533, 0.90270001, 0.86790001
1467915056.777892, 0.90399998, 0.86619997
1467915058.995006, 0.90310001, 0.86729997
1467915061.238522, 0.90420002, 0.86680001
1467915062.982174, 0.90600002, 0.86470002
1467915064.715931, 0.91049999, 0.86739999
1467915066.659135, 0.91610003, 0.86519998
1467915068.489899, 0.91530001, 0.86589998
1467915070.868042, 0.91339999, 0.86290002
1467915073.385317, 0.92790002, 0.86629999
1467915075.746297, 0.93190002, 0.86750001
1467915077.6561, 0.93610001, 0.86760002
1467915079.519883, 0.93739998, 0.87129998
1467915081.79434, 0.93800002, 0.87029999
1467915083.564694, 0.9425, 0.87199998
1467915085.287229, 0.94550002, 0.87120003
1467915087.657741, 0.94669998, 0.87169999
1467915089.95973, 0.94690001, 0.87159997
1467915091.7318, 0.94870001, 0.87230003
1467915093.464459, 0.94870001, 0.87220001
1467915095.372658, 0.95450002, 0.8732
1467915097.818928, 0.95490003, 0.8739
1467915099.650723, 0.95370001, 0.8725
1467915101.415027, 0.95850003, 0.87290001
1467915103.908239, 0.96039999, 0.8743
1467915105.784927, 0.9598, 0.87410003
1467915107.548585, 0.95889997, 0.87419999
1467915109.283027, 0.96399999, 0.8743
1467915111.579915, 0.96469998, 0.87360001
1467915113.898997, 0.96460003, 0.87349999
1467915115.702341, 0.96399999, 0.87349999
1467915118.100255, 0.96530002, 0.87400001
1467915119.988312, 0.96499997, 0.87370002
1467915121.74319, 0.9655, 0.87309998
1467915124.062393, 0.96329999, 0.87379998
1467915126.460755, 0.95700002, 0.8721
1467915128.201792, 0.95499998, 0.87180001
1467915129.999722, 0.9612, 0.87169999
1467915131.740133, 0.95779997, 0.87190002
1467915133.491157, 0.95539999, 0.87050003
1467915135.321243, 0.96380001, 0.87260002
1467915137.574247, 0.96780002, 0.87260002
1467915139.783479, 0.96850002, 0.8725
1467915141.501786, 0.97219998, 0.8725
1467915143.234185, 0.97310001, 0.87220001
1467915145.706127, 0.97250003, 0.8721
1467915148.0929, 0.9774, 0.8725
1467915150.432371, 0.97860003, 0.87239999
1467915152.226372, 0.9788, 0.8725
1467915153.989582, 0.97829998, 0.87239999
1467915155.79251, 0.98000002, 0.87260002
1467915157.604141, 0.98030001, 0.87279999
1467915159.894859, 0.97909999, 0.87239999
1467915162.170811, 0.97539997, 0.8732
1467915163.923538, 0.97390002, 0.87349999
1467915166.237619, 0.97420001, 0.87220001
1467915168.16787, 0.9763, 0.87169999
1467915170.137191, 0.9788, 0.87239999
1467915171.98338, 0.97970003, 0.87300003
1467915173.83526, 0.9842, 0.87220001
1467915176.271384, 0.9853, 0.87199998
1467915178.224452, 0.98589998, 0.8721
1467915180.040737, 0.98549998, 0.87150002
1467915181.919154, 0.98559999, 0.87169999
1467915183.749594, 0.98589998, 0.87080002
1467915185.993578, 0.98559999, 0.87089998
1467915187.801074, 0.98790002, 0.87120003
1467915189.608401, 0.98979998, 0.87129998
1467915192.090669, 0.99049997, 0.87129998
1467915194.032392, 0.99019998, 0.87099999
1467915195.965213, 0.9903, 0.87099999
1467915197.805552, 0.991, 0.8707
1467915199.647808, 0.99180001, 0.87080002
