Computation_Time,Train_Accuracy,Test_Accuracy
1467915618.492743, 0.082099997, 0.081299998
1467915620.186264, 0.13349999, 0.1366
1467915622.378793, 0.19159999, 0.1883
1467915624.181219, 0.2676, 0.26249999
1467915626.353577, 0.271, 0.2694
1467915628.134377, 0.3628, 0.35479999
1467915629.863934, 0.4549, 0.4517
1467915631.998396, 0.46180001, 0.46020001
1467915634.268278, 0.58050001, 0.58170003
1467915636.585795, 0.62650001, 0.62080002
1467915638.884971, 0.64289999, 0.64020002
1467915641.092903, 0.6857, 0.68620002
1467915642.852596, 0.71420002, 0.7112
1467915645.168754, 0.74430001, 0.74239999
1467915647.409569, 0.78109998, 0.77429998
1467915649.551202, 0.78740001, 0.77850002
1467915651.260162, 0.78979999, 0.78649998
1467915652.973696, 0.7949, 0.78829998
1467915655.080079, 0.80479997, 0.79710001
1467915656.796705, 0.81519997, 0.8057
1467915659.008274, 0.82740003, 0.81120002
1467915660.732223, 0.83170003, 0.81699997
1467915662.443695, 0.83999997, 0.82090002
1467915664.699742, 0.84390002, 0.82340002
1467915666.435731, 0.84939998, 0.82740003
1467915668.255419, 0.85149997, 0.82840002
1467915670.010031, 0.85579997, 0.83090001
1467915672.186391, 0.86059999, 0.83679998
1467915674.115264, 0.86760002, 0.83410001
1467915675.893409, 0.86750001, 0.83429998
1467915677.603817, 0.8768, 0.84069997
1467915679.841759, 0.87800002, 0.84509999
1467915681.524012, 0.8818, 0.84969997
1467915683.237642, 0.8919, 0.85369998
1467915684.976201, 0.8973, 0.8549
1467915687.150497, 0.90009999, 0.85530001
1467915688.836662, 0.9023, 0.85820001
1467915690.566747, 0.90219998, 0.85759997
1467915692.756407, 0.90200001, 0.85769999
1467915694.485047, 0.90109998, 0.8574
1467915696.72298, 0.90560001, 0.85780001
1467915698.99287, 0.90560001, 0.85699999
1467915701.23231, 0.9084, 0.8581
1467915702.957136, 0.90509999, 0.85699999
1467915705.190511, 0.9048, 0.8567
1467915707.926915, 0.90579998, 0.85829997
1467915710.06228, 0.90380001, 0.85710001
1467915712.726566, 0.91170001, 0.85769999
1467915714.984541, 0.91229999, 0.8581
1467915717.162861, 0.9152, 0.85909998
1467915719.279451, 0.91479999, 0.85939997
1467915721.011521, 0.91729999, 0.85930002
1467915723.19093, 0.91909999, 0.8599
1467915724.921598, 0.91750002, 0.85960001
1467915727.092031, 0.91960001, 0.85860002
1467915729.225174, 0.91509998, 0.85780001
1467915730.912883, 0.9192, 0.86089998
1467915733.079784, 0.92479998, 0.86140001
1467915735.3541, 0.92470002, 0.86189997
1467915737.52288, 0.92799997, 0.86400002
1467915739.299984, 0.93089998, 0.86379999
1467915741.435882, 0.93199998, 0.86390001
1467915743.122553, 0.93169999, 0.8642
1467915744.861437, 0.93309999, 0.86379999
1467915746.665878, 0.9346, 0.8646
1467915748.775574, 0.93470001, 0.8635
1467915750.883149, 0.93699998, 0.86360002
1467915752.701585, 0.93769997, 0.86440003
1467915754.367758, 0.93339998, 0.8646
1467915756.492591, 0.9375, 0.86409998
1467915758.630908, 0.94050002, 0.86320001
1467915760.76542, 0.93959999, 0.86369997
1467915762.495461, 0.94029999, 0.86330003
1467915764.253431, 0.94349998, 0.86500001
1467915765.998246, 0.94319999, 0.86470002
1467915767.874852, 0.9436, 0.86379999
1467915769.555417, 0.94300002, 0.86409998
1467915771.288725, 0.94209999, 0.86409998
1467915772.957084, 0.94400001, 0.86449999
1467915775.147694, 0.9425, 0.86489999
1467915777.235202, 0.93669999, 0.86500001
1467915779.002881, 0.9375, 0.86489999
1467915780.701026, 0.94059998, 0.86479998
1467915782.888239, 0.93870002, 0.86360002
1467915785.366416, 0.94059998, 0.86470002
1467915787.77998, 0.94190001, 0.86570001
1467915789.492407, 0.94410002, 0.86479998
1467915791.210538, 0.94550002, 0.86570001
1467915792.97691, 0.94499999, 0.86659998
1467915794.708154, 0.95029998, 0.86690003
1467915796.421022, 0.95240003, 0.86669999
1467915798.673029, 0.95279998, 0.86589998
1467915800.446815, 0.95319998, 0.86650002
1467915802.217916, 0.9544, 0.86690003
1467915803.996505, 0.95420003, 0.8664
1467915806.278673, 0.95520002, 0.86580002
1467915808.006806, 0.95359999, 0.86559999
1467915810.295827, 0.95109999, 0.86500001
1467915812.03566, 0.94660002, 0.8646
1467915813.805555, 0.9418, 0.86360002
