Layers: 2
Nodes: 256
========================================================
Computation_Time,Train_Accuracy,Test_Accuracy
7.24509596824646, 0.1058, 0.1028
2.203087091445923, 0.1688, 0.1761
2.7522389888763428, 0.2013, 0.2033
2.8638439178466797, 0.29679999, 0.2906
2.6880810260772705, 0.41859999, 0.42750001
2.5273420810699463, 0.48859999, 0.486
1.9324250221252441, 0.55800003, 0.56129998
1.9118149280548096, 0.66780001, 0.66970003
1.9785737991333008, 0.73720002, 0.73110002
2.5814831256866455, 0.76429999, 0.76109999
2.094011068344116, 0.78909999, 0.78710002
2.3315532207489014, 0.80540001, 0.80089998
1.996392011642456, 0.82590002, 0.81959999
2.502877950668335, 0.83749998, 0.82209998
1.7543859481811523, 0.84369999, 0.82679999
2.047715187072754, 0.85420001, 0.84039998
2.7003531455993652, 0.85509998, 0.83770001
2.4399940967559814, 0.86690003, 0.85079998
2.622223138809204, 0.87239999, 0.85339999
2.6241631507873535, 0.8721, 0.8506
2.618875026702881, 0.87379998, 0.85259998
2.6390960216522217, 0.87970001, 0.85640001
2.1200950145721436, 0.88789999, 0.8592
2.1774609088897705, 0.88429999, 0.85530001
2.4220290184020996, 0.88279998, 0.85070002
2.5892839431762695, 0.89120001, 0.85960001
1.9911930561065674, 0.8933, 0.86309999
2.673759937286377, 0.89819998, 0.86360002
1.8789780139923096, 0.90020001, 0.86540002
1.8926260471343994, 0.9052, 0.8635
2.126242160797119, 0.9073, 0.8653
2.812978982925415, 0.9077, 0.8682
1.9284708499908447, 0.91140002, 0.86970001
1.9622399806976318, 0.9138, 0.8664
1.8822698593139648, 0.91390002, 0.86619997
2.239367961883545, 0.91890001, 0.86849999
1.8099260330200195, 0.92210001, 0.8707
2.420591115951538, 0.92119998, 0.87220001
2.351973056793213, 0.92220002, 0.87199998
2.218108892440796, 0.92360002, 0.87129998
2.3832740783691406, 0.92140001, 0.86799997
2.660646915435791, 0.92259997, 0.8707
2.320533037185669, 0.92640001, 0.87099999
2.1819779872894287, 0.92540002, 0.87180001
2.233610153198242, 0.9296, 0.87190002
2.8990938663482666, 0.93150002, 0.86949998
2.3545379638671875, 0.93080002, 0.86669999
2.2058520317077637, 0.93260002, 0.8671
2.3839519023895264, 0.9375, 0.86720002
2.818276882171631, 0.93800002, 0.8682
2.195513963699341, 0.94379997, 0.86909997
2.0968079566955566, 0.94730002, 0.87059999
2.5893800258636475, 0.94999999, 0.87199998
2.6381940841674805, 0.95539999, 0.87230003
2.322068929672241, 0.95880002, 0.87379998
2.758085012435913, 0.95990002, 0.87699997
2.7464489936828613, 0.96490002, 0.87650001
2.663498878479004, 0.96609998, 0.87529999
2.095618963241577, 0.96719998, 0.87360001
1.796212911605835, 0.96810001, 0.87559998
2.066061019897461, 0.9677, 0.87660003
2.6719419956207275, 0.96490002, 0.87470001
2.7337849140167236, 0.96340001, 0.8743
2.745492935180664, 0.96719998, 0.87440002
2.712148904800415, 0.97030002, 0.87540001
2.195336103439331, 0.97310001, 0.87650001
2.0893900394439697, 0.97240001, 0.87599999
2.432814836502075, 0.97530001, 0.87589997
2.378575086593628, 0.97469997, 0.87589997
2.0907440185546875, 0.97920001, 0.87639999
2.7795019149780273, 0.98079997, 0.87639999
2.014760971069336, 0.98110002, 0.87650001
2.5467031002044678, 0.9806, 0.87620002
2.151360034942627, 0.98210001, 0.87629998
2.408707857131958, 0.98280001, 0.87580001
2.091545820236206, 0.98269999, 0.87550002
2.549678087234497, 0.97850001, 0.87489998
2.9978761672973633, 0.97350001, 0.87400001
2.8134939670562744, 0.97140002, 0.87290001
2.105633020401001, 0.96990001, 0.87169999
1.914590835571289, 0.96960002, 0.87159997
2.2341320514678955, 0.97219998, 0.87220001
1.9954049587249756, 0.97460002, 0.87269998
1.975126028060913, 0.97710001, 0.87290001
1.8777339458465576, 0.97920001, 0.8739
2.2006049156188965, 0.98460001, 0.87400001
2.7886850833892822, 0.98650002, 0.87379998
2.7534239292144775, 0.98509997, 0.87379998
2.2869229316711426, 0.98589998, 0.87349999
2.1841518878936768, 0.98879999, 0.87349999
1.896200180053711, 0.98930001, 0.87339997
2.4512109756469727, 0.98949999, 0.87339997
2.26127290725708, 0.98949999, 0.87260002
2.9372408390045166, 0.98769999, 0.87290001
2.772956132888794, 0.98809999, 0.87309998
2.054123878479004, 0.99129999, 0.87300003
2.3219680786132812, 0.9892, 0.87339997
2.0432591438293457, 0.9835, 0.87269998
2.025977849960327, 0.98659998, 0.8721
2.170789957046509, 0.98909998, 0.87239999
