Epoch,time,train_accuaracy,test_accuaracy,train_cost,test_cost
Epoch,time,train_accuaracy,test_accuaracy,train_cost,test_cost
Epoch,time,train_accuaracy,test_accuaracy,train_cost,test_cost
Epoch,time,train_accuaracy,test_accuaracy,train_cost,test_cost
24, 86.18196606636047, 0.57011944, 0.5751, 214.7849, 205.03937
24, 86.19869780540466, 0.56859213, 0.5772, 215.84151, 207.41483
24, 86.34538793563843, 0.56166476, 0.57819998, 219.60023, 204.91273
25, 89.63917708396912, 0.58206511, 0.58530003, 211.27263, 202.61565
25, 89.64630484580994, 0.58364695, 0.59259999, 210.28204, 202.42516
25, 89.78854203224182, 0.57431954, 0.59399998, 218.18501, 205.74413
26, 93.06163811683655, 0.59297442, 0.59240001, 217.1545, 212.96429
26, 93.09891200065613, 0.58822888, 0.59490001, 210.37471, 205.70766
26, 93.22689890861511, 0.58059239, 0.597, 211.86766, 201.93219
27, 96.46094393730164, 0.59155619, 0.59390002, 205.85666, 203.67274
27, 96.50424790382385, 0.58244693, 0.59200001, 211.08429, 208.11293
27, 96.67492008209229, 0.57475591, 0.59259999, 215.29532, 205.39032
28, 99.90141105651855, 0.59722906, 0.60619998, 197.1322, 190.28151
28, 99.94798588752747, 0.59995633, 0.60710001, 193.81201, 186.15491
28, 100.10621500015259, 0.58931983, 0.60659999, 202.07626, 186.35333
29, 103.38424801826477, 0.60955656, 0.6135, 192.37984, 183.00714
29, 103.38736200332642, 0.60088366, 0.60640001, 194.79193, 185.23764
29, 103.59139394760132, 0.59417444, 0.6153, 198.04439, 183.48779
30, 106.79151511192322, 0.616593, 0.61940002, 190.05348, 180.51114
30, 106.82667779922485, 0.6203022, 0.62870002, 182.44447, 175.28482
30, 107.02820611000061, 0.61108387, 0.62819999, 186.48953, 174.4073
31, 110.1719319820404, 0.62782961, 0.6293, 181.22179, 174.38803
31, 110.25352096557617, 0.62073857, 0.62709999, 184.20639, 178.24265
31, 110.44345808029175, 0.61408389, 0.63139999, 186.87059, 174.87758
32, 113.58921098709106, 0.63088417, 0.63129997, 181.23582, 173.20093
32, 113.6579749584198, 0.62608409, 0.63550001, 178.44524, 171.05466
32, 113.85668706893921, 0.61392027, 0.63700002, 184.98112, 172.09801
33, 116.95869302749634, 0.63246602, 0.63810003, 178.75896, 171.18095
33, 117.05700588226318, 0.63262969, 0.64270002, 173.9128, 166.8848
33, 117.25774812698364, 0.62248403, 0.64020002, 177.68706, 164.99644
34, 120.30265712738037, 0.63579339, 0.63800001, 174.46786, 166.02481
34, 120.45153093338013, 0.6252659, 0.63349998, 175.51036, 168.79198
34, 120.61357498168945, 0.61124748, 0.62410003, 186.72591, 173.85159
35, 123.71990704536438, 0.62804776, 0.62529999, 181.88629, 173.57907
35, 123.85585188865662, 0.62957507, 0.63700002, 174.68501, 166.68643
35, 124.03819489479065, 0.62532043, 0.6433, 174.04764, 160.80574
